CLIENTE_CC,FECHA_INFORMACION,SALDO_AHORROS,SALDO_FONDOS    ,SALDO_CREDITO1 ,SALDO_CREDITO2,SALDO_TARJETA,MONTO_COMPRAS1,MONTO_CAJERO1,MONTO_COMPRAS2,MONTO_CAJERO2,MONTO_ABONOS_NOMINA,INDICADOR_MORA,SALDO_ACTIVO    ,SALDO_PASIVO
616,2017-08-01,1218650,0,0.00,0,0,0,0,3400,650000,2480560,0,0,121864516
174,2017-08-01,385102,0,10967741.94,0,1292920,246540,0,6800,1490000,660371,0,1226065989,38510242
2425,2017-04-01,0,0,18550443.93,0,0,0,0,0,0,0,0,1855044393,0
1122,2017-03-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
1562,2017-04-01,0,0,0.00,0,959119,0,0,0,0,0,0,95911944,0
15,2017-04-01,242992,0,2737799.00,0,0,0,0,0,340000,780318,0,2737799,2429916
1132,2017-10-01,0,0,2210394.68,0,0,0,0,0,0,0,0,221039468,0
1696,2016-12-01,499810,0,5168868.93,0,0,0,0,0,4420000,4442040,0,516886893,49981038
1986,2017-04-01,1465.86,0,6068226.30,0,0,0,0,0,0,0,0,60682263,146586
1,2017-07-01,5507,0,0.00,0,0,0,0,0,0,0,0,0,5507
1338,2017-11-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
321,2017-09-01,789929,0,0.00,15777150.71,0,0,0,0,0,0,0,1577715071,78992921
1479,2017-06-01,280505,0,0.00,0,0,0,0,27087,400000,2687830,0,0,28050507
2124,2017-12-01,741087,0,10179810.28,0,2043670,2340200,0,0,580000,3399000,0,1222348515,74108749
254,2017-12-01,0,0,0.00,0,1929710,200000,0,0,0,0,0,192971419,0
336,2017-06-01,239081,0,9067812.57,0,0,0,0,0,420000,1324500,0,906781257,23908079
1362,2017-05-01,134814,0,0.00,0,1058150,0,100000,0,820000,761840,0,105815481,1348138
1133,2016-12-01,2041400,0,4015385.84,0,42001,0,0,1143520,3760000,1432890,0,405738684,204139988
1982,2017-09-01,175387,0,9320385.33,0,935963,0,0,0,1080000,1599540,0,1025634785,1753874
1746,2017-05-01,262773,0,0.00,0,0,0,0,143200,1200000,1349800,0,0,26277274
79,2017-06-01,356749,0,0.00,0,0,0,0,0,1610000,2754130,0,0,3567486
426,2017-08-01,599.55,0,4701883.65,0,0,0,0,0,0,0,0,470188365,59955
1592,2017-02-01,838067,0,0.00,0,0,0,0,0,0,0,0,0,83806652
414,2016-12-01,324555,0,0.00,0,0,0,0,0,0,0,0,0,32455526
2176,2017-09-01,656080,0,9053709.93,0,0,0,0,0,900000,1081840,0,905370993,65607971
223,2017-07-01,3460.02,0,2319696.86,0,0,0,0,0,0,0,0,231969686,346002
2130,2016-12-01,0,0,4737185.83,0,0,0,0,0,0,0,0,473718583,0
262,2017-10-01,159562,0,9521805.00,0,0,0,0,0,1900000,1428730,0,9521805,15956157
448,2017-03-01,6434650,0,0.00,0,121212,92718,0,1906220,0,500000,0,121212,643465176
1501,2017-05-01,60781.4,0,17813589.71,0,404600,0,0,0,930000,1107270,0,1821818971,6078136
1768,2017-08-01,611278,0,0.00,0,0,0,0,0,0,0,0,0,61127802
2310,2017-10-01,4059,0,0.00,0,0,0,0,0,0,0,0,0,4059
2019,2016-12-01,0,0,15561232.34,0,0,0,0,0,0,0,0,1556123234,0
466,2017-01-01,1093830,0,3151334.03,0,0,0,0,0,0,0,0,315133403,109383156
521,2017-08-01,222527,0,0.00,0,0,0,0,0,2100000,2281690,0,0,22252723
1311,2017-08-01,51837.8,0,14502470.10,0,0,0,0,0,0,0,0,145024701,5183779
1705,2017-07-01,7169,978079334,0.00,0,0,0,0,0,0,0,0,0,978796234
1479,2017-12-01,3159440,0,0.00,0,0,0,0,100190,2900000,4137280,0,0,315944497
168,2016-12-01,335559,0,0.00,0,0,0,0,0,1280000,3154480,0,0,33555942
9,2017-02-01,263930,0,0.00,0,0,0,0,0,0,0,0,0,26392964
1319,2017-03-01,206324,0,0.00,0,0,0,0,0,1200000,1280350,0,0,20632403
1081,2017-09-01,1655370,0,0.00,0,0,0,0,0,0,1928300,0,0,16553736
1921,2017-12-01,0,0,4413946.66,0,1244630,0,0,0,0,0,0,565857521,0
1453,2017-05-01,2983070,0,655129.95,0,0,0,0,2692900,1550000,2480950,0,65512995,298306954
2024,2017-11-01,925076,0,0.00,0,0,0,0,0,1600000,838909,0,0,92507554
1420,2016-12-01,0,0,0.00,0,1154520,0,0,0,0,0,0,115452407,0
103,2017-06-01,1240710,0,0.00,0,0,0,0,0,1060000,1382410,0,0,124071266
1695,2017-04-01,1604590,0,0.00,0,0,0,0,548685,2200000,0,0,0,160459083
2221,2017-05-01,0,0,0.00,0,1069150,0,0,0,0,0,0,106915431,0
2377,2017-12-01,234,0,10024993.16,0,0,0,0,0,0,0,0,1002499316,234
2143,2017-11-01,440.36,0,0.00,0,0,0,0,0,1070000,1070310,0,0,44036
1293,2017-01-01,0,659451000,0.00,0,0,0,0,0,0,0,0,0,6594510
650,2017-05-01,24647.8,0,0.00,0,0,0,0,0,1150000,1126140,0,0,2464775
1134,2016-12-01,9600,0,0.00,0,2284610,390000,0,0,0,0,0,228460887,9600
1711,2017-04-01,715358,0,6045347.20,0,0,0,0,0,600000,1023900,0,60453472,71535781
2184,2017-07-01,745734,0,0.00,0,0,0,0,74600,1400000,708117,0,0,74573363
2267,2017-04-01,266965,0,15022505.80,0,0,0,0,165200,0,827253,0,150225058,26696545
1250,2017-12-01,1176990,0,0.00,0,0,0,0,256345,0,1128350,0,0,117699158
545,2017-04-01,81064.5,0,0.00,0,0,0,0,0,800000,826268,0,0,8106448
310,2017-03-01,740051,0,0.00,0,0,0,0,130400,800000,1177440,0,0,74005081
430,2017-12-01,363171,0,2466702.74,0,0,0,0,0,1200000,499640,0,246670274,36317084
966,2017-07-01,38580.6,0,4408839.42,0,1839450,0,0,0,0,0,0,624828738,3858058
855,2017-10-01,94733,0,0.00,0,0,0,0,0,1370000,1385200,0,0,9473297
1260,2017-01-01,417793,0,0.00,0,0,0,0,0,0,0,0,0,41779277
2368,2017-07-01,0,0,0.00,0,11931000,0,0,0,0,0,1,11930956,0
2092,2017-09-01,208.33,0,0.00,0,0,0,0,0,0,0,0,0,20833
1761,2017-04-01,22915.1,0,6910139.60,0,998523,0,35000,37000,760000,757021,0,790866285,2291512
2431,2017-03-01,1868250,0,0.00,0,0,0,0,0,0,0,0,0,186824839
157,2017-08-01,180565,0,0.00,0,0,0,0,0,0,14113600,0,0,1805649
332,2017-07-01,83040.3,0,13173509.68,0,0,0,0,0,1040000,877578,0,1317350968,8304027
1747,2016-12-01,202982,0,15446139.97,0,0,0,0,0,0,409440,0,1544613997,20298218
1279,2017-01-01,650912,0,0.00,0,0,0,0,1674700,2510000,0,0,0,65091225
1102,2017-05-01,1158240,0,9647177.87,0,2031570,0,0,0,1450000,1074050,0,1167874748,115824252
1883,2017-04-01,643052,0,0.00,0,0,0,0,0,659000,987860,0,0,64305161
1974,2017-01-01,85.59,0,0.00,0,0,0,0,14170,1340000,1360000,0,0,8559
871,2017-05-01,0,0,11407614.13,0,0,0,0,0,0,0,0,1140761413,0
336,2017-02-01,109988,0,9510300.82,0,0,0,0,0,420000,478664,0,951030082,10998774
1519,2017-10-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
1334,2016-12-01,139442,0,0.00,0,1430490,0,100000,0,1050000,1508610,0,143049378,13944244
908,2017-12-01,0,0,0.00,6295679.49,0,0,0,0,0,0,0,629567949,0
1721,2017-12-01,1500000,0,0.00,0,0,0,0,0,1600000,2143690,0,0,150000185
1938,2017-09-01,325970,0,15740233.00,0,3823860,0,800000,224880,1400000,0,0,1956408966,32597043
2082,2017-11-01,0,0,0.00,0,1436740,92478,0,0,0,0,0,143674218,0
165,2016-12-01,821045,0,0.00,0,0,0,0,0,0,949706,0,0,82104484
2377,2017-01-01,234,0,10665792.94,0,0,0,0,0,0,0,0,1066579294,234
2422,2017-09-01,226391,0,0.00,0,0,0,0,0,0,0,0,0,2263906
628,2017-01-01,5467010,0,0.00,0,676610,1270770,0,0,0,1500000,0,67660987,546701088
754,2017-09-01,0,150000000,0.00,0,0,0,0,0,0,0,0,0,1500000
43,2017-10-01,6465900,0,0.00,0,0,0,0,0,0,1369850,0,0,64658999
1733,2016-12-01,0,500000000,0.00,0,0,0,0,0,0,0,0,0,5000000
1223,2017-02-01,34316.6,0,0.00,0,0,0,0,0,320000,487469,0,0,3431661
320,2017-05-01,911076,0,0.00,0,0,0,0,48824,1200000,1049140,0,0,91107629
398,2017-11-01,279972,0,0.00,0,0,0,0,5000,2610000,2621850,0,0,27997235
277,2017-06-01,46175.3,0,0.00,0,0,0,0,0,0,0,0,0,461753
1008,2017-03-01,12457.2,0,0.00,0,0,0,0,0,20000,0,0,0,1245724
1073,2017-08-01,0,0,0.00,0,5450670,0,0,0,0,0,0,545066627,0
705,2017-02-01,11548.1,0,0.00,0,0,0,0,0,680000,705873,0,0,1154807
919,2017-12-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
1513,2017-10-01,20649.7,0,8178343.43,0,2980580,0,0,0,300000,821021,0,1115892558,2064972
2300,2017-07-01,0,0,14138357.90,0,0,0,0,0,0,0,0,141383579,0
563,2017-06-01,0,0,0.00,0,17694400,543026,0,0,0,0,0,1769437871,0
331,2017-05-01,981892,0,0.00,0,0,0,0,0,0,5801570,0,0,98189171
1890,2017-11-01,1687.23,0,0.00,0,0,0,0,0,780000,793813,0,0,168723
1326,2017-10-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
1511,2017-02-01,8383.97,0,119550.86,0,0,0,0,0,0,0,0,11955086,838397
1315,2017-08-01,250,0,0.00,0,0,0,0,0,0,0,0,0,250
1353,2017-05-01,586357,0,0.00,0,0,0,0,0,0,0,0,0,5863574
1012,2016-12-01,910053,0,0.00,0,2057380,0,200000,146809,4480000,1712040,0,205738037,91005331
2272,2017-04-01,886068,0,0.00,0,0,0,0,0,0,0,0,0,88606773
1640,2017-11-01,139287,0,3201737.00,0,0,0,0,0,1100000,1365710,0,3201737,13928733
2386,2017-05-01,24118.4,0,0.00,0,0,0,0,0,0,0,0,0,2411836
2178,2017-01-01,1846060,0,0.00,0,0,0,0,0,0,0,0,0,184606174
5,2017-12-01,12293.5,0,0.00,0,0,0,0,0,0,0,0,0,2638118
352,2017-07-01,80775.2,0,0.00,0,0,0,0,61000,920000,1554360,0,0,8077516
1907,2016-12-01,228983,0,9658660.06,0,0,0,0,223730,760000,310547,0,965866006,22898296
1246,2017-09-01,16905.9,0,0.00,0,0,0,0,0,850000,855302,0,0,1690587
1798,2017-05-01,60084,0,0.00,0,6249920,0,120000,0,1840000,942559,0,624992046,6008396
1475,2017-04-01,229928,0,0.00,0,0,0,0,0,1300000,1325770,0,0,22992827
1589,2017-07-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
2359,2017-07-01,3088630,0,0.00,0,0,0,0,917200,120000,885369,0,0,308863049
1323,2017-01-01,8305970,0,0.00,0,0,0,0,0,0,0,0,0,8305967
1539,2017-06-01,0,0,5064517.52,0,0,0,0,0,0,0,0,506451752,0
620,2017-08-01,262759,0,0.00,8674135.22,0,0,0,0,0,0,0,867413522,2627592
915,2016-12-01,0,0,0.00,7172341.21,0,0,0,0,0,0,0,717234121,0
1282,2017-08-01,526159,0,0.00,0,0,0,0,0,100000,0,0,0,52615871
1586,2017-01-01,30468.1,0,10259811.71,0,0,0,0,0,720000,734945,0,1025981171,3046812
2152,2016-12-01,6273.03,0,0.00,0,576819,0,0,0,760000,769150,0,57681913,627303
527,2017-10-01,2222210,0,0.00,0,0,0,0,1249030,0,0,0,0,222220756
486,2017-10-01,0,0,0.00,2930920.94,0,0,0,0,0,0,0,293092094,0
356,2017-04-01,25000,0,0.00,0,15505600,0,0,0,0,0,0,1550563879,25000
360,2017-04-01,0,0,0.00,0,1884850,16900,600000,0,0,0,0,188485067,0
437,2017-09-01,28134.3,0,13365592.67,0,0,0,0,16000,370000,407780,0,1336559267,2813433
1489,2016-12-01,2020510,0,0.00,0,0,0,0,0,0,0,0,0,202051216
2041,2017-09-01,258335,0,0.00,0,0,0,0,119800,1080000,1014300,0,0,2583349
739,2016-12-01,71139.9,0,0.00,0,572481,20999,0,0,1040000,1047500,0,57248135,711399
577,2017-06-01,8843770,0,0.00,0,0,0,0,0,0,0,0,0,884376898
2184,2017-08-01,745734,0,0.00,0,0,0,0,53320,500000,708117,0,0,74573363
561,2017-03-01,114986,0,6306890.45,0,0,0,0,0,1910000,684795,0,630689045,1149863
564,2016-12-01,849070,0,0.00,0,0,0,0,0,1420000,2284620,0,0,84907019
1595,2017-06-01,173812,0,0.00,0,543396,0,0,0,1470000,1489120,0,5433963,17381163
1727,2017-12-01,1917000,0,0.00,0,0,0,0,731805,0,394935,0,0,191699655
214,2017-11-01,1651360,0,63614689.55,0,0,0,0,0,3030000,0,0,6361468955,165135573
1337,2016-12-01,0,0,8688003.00,0,1081730,14976,0,0,0,0,0,97697305,0
1757,2017-07-01,1151.87,0,0.00,0,897353,114600,0,0,0,0,0,89735318,115187
2251,2016-12-01,18918,0,0.00,0,0,0,0,0,1590000,1603130,0,0,1891801
639,2017-04-01,263709,0,0.00,0,10619.7,9956,0,0,0,1319750,0,1061973,26370922
1506,2017-01-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
1973,2016-12-01,469236,0,0.00,0,1144240,0,60000,346993,570000,1138730,0,114424248,46923649
1461,2017-11-01,0,0,14734383.70,0,0,0,0,0,0,0,0,147343837,0
1536,2017-03-01,25788.2,0,1141766.26,0,0,0,0,0,380000,395496,0,114176626,2578824
1970,2017-02-01,10626.5,0,0.00,0,5375350,0,0,0,0,0,0,537534975,1062654
2418,2017-04-01,1450,0,0.00,0,0,0,0,0,0,0,0,0,1450
1916,2017-01-01,740766,0,9253868.46,0,0,0,0,0,0,0,0,925386846,74076649
1104,2017-06-01,0,0,14032253.84,0,0,0,0,0,0,0,0,1403225384,0
529,2017-05-01,196738,0,0.00,0,2890190,0,100000,0,2190000,1201820,0,289018697,1967381
540,2017-11-01,5025.6,0,0.00,0,0,0,0,0,0,0,0,0,50256
862,2017-11-01,1558440,0,0.00,0,0,0,0,0,0,0,0,0,155844342
1803,2017-09-01,9892820,0,0.00,0,0,0,0,0,800000,720973,0,0,989281608
328,2017-05-01,154273,0,0.00,0,0,0,0,0,0,531188,0,0,15427272
1011,2017-11-01,0,0,1314985.93,0,0,0,0,0,0,0,0,131498593,0
1746,2017-07-01,529602,0,0.00,0,0,0,0,249333,1300000,1349800,0,0,529602
